Ù.Ø.Ø..Ø.Ù.Ø¹Ù.Ø.,Ø.Ù.Ø.Ø.Ù.Ø.,Ø.Ù.Ø.Ù.Ø.Ø.,Ø.Ù.Ù.Ø.Ù.Ù.Ø¹,X,Laghouat...3.,X.1,X.2,page,Groupe,Group,Tizi.Ouzou..15.,Skikda,X.21.,Mostaganem.27.,Illizi,X.33.,El.Oued...39.,Naama...45.
NA,,,,Groupe,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Masculin,FÃ©minin,Total,,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,,,dâ€™Ã¢ge,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,42031,39153,81184,0-4 Ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,37527,35585,73112,5-9 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,41516,39940,81456,10-14 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,42980,40846,83825,15-19 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,39897,39787,79684,20-24 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,34082,33602,67684,25-29 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,25617,25829,51446,30-34 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,22046,22705,44750,35-39 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,18823,18974,37797,40-44 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,15767,16049,31817,45-49 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,12734,12680,25414,50-54ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9316,8736,18052,55-59 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5735,5817,11552,60-64 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5354,5387,10741,65-69 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4523,4575,9098,70-74 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3862,3600,7462,75-79 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1785,1627,3412,80-84 ans,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1330,1235,2565,85 ans &  +,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,115,189,304,ND,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,365040,356317,721356,Total,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,52988,NA,50716,103705,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,42504,NA,40825,83330,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,46841,NA,44706,91548,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,51709,NA,49548,101257,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,52612,NA,51698,104309,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,49433,NA,48580,98013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,41389,NA,40816,82205,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,37962,NA,37941,75903,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,32787,NA,32295,65082,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,25131,NA,24311,49442,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,21887,NA,20317,42204,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,17058,NA,15315,32372,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,11950,NA,11055,23004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,9422,NA,8938,18359,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,6885,NA,7059,13944,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,4727,NA,4767,9494,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,2298,NA,2232,4530,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1414,NA,1509,2923,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,607,NA,707,1314,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,509602,NA,493335,1002937,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,12814,NA,12127,24942,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,10712,NA,10263,20974,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,10262,NA,9712,19974,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,10212,NA,9897,20109,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,9082,NA,9292,18373,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,8424,NA,8122,16546,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,5833,NA,5676,11509,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,5460,NA,5189,10650,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,4702,NA,4307,9010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,4054,NA,3505,7559,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,2564,NA,2023,4587,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,2032,NA,1747,3779,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,1450,NA,1087,2537,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,1249,NA,1081,2330,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,730,NA,569,1299,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,547,NA,505,1053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,209,NA,176,385,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,207,NA,223,430,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,277,NA,316,593,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,90820,NA,85816,176637,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Masculin FÃ©minin,NA,NA,Total,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,,2,dâ€™Ã¢ge,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,14791 14731,NA,NA,29522,2,0-4 Ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,12222 11643,NA,NA,23865,2,5-9 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,12967 12720,NA,NA,25687,2,10-14 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,14173 13821,NA,NA,27994,2,15-19 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,14862 15455,NA,NA,30317,2,20-24 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,13866 14388,NA,NA,28254,2,25-29 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,11265 11059,NA,NA,22324,2,30-34 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,9230 9181,NA,NA,18411,2,35-39 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
