Ù.Ø.Ø..Ø.Ù.Ø¹Ù.Ø.,Ø.Ù.Ø.Ø.Ù.Ø.,Ø.Ù.Ø.Ù.Ø.Ø.,Ø.Ù.Ù.Ø.Ù.Ù.Ø¹,X,Laghouat...3.,X.1,X.2,page,Groupe,Group,Tizi.Ouzou..15.,Skikda,X.21.,Mostaganem.27.,Illizi,X.33.,El.Oued...39.,Naama...45.
55-59 ans,NA,NA,NA,22833,NA,21353,44185,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,13393,NA,13577,26969,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,11912,NA,12304,24215,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,10281,NA,10475,20756,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,7611,NA,7193,14804,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,3840,NA,3617,7457,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,2479,NA,2610,5090,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,243,NA,495,737,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,756434,NA,733545,1489979,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,ÙØ¦Ø© Ø§Ù„Ø¹Ù…Ø±,NA,,NA,4,NA,NA,NA,,,NA,NA,NA,NA,NA
NA,NA,NA,NA,,NA,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,NA,4,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,Ø§Ù„Ø¥Ù†Ø§Ø«,NA,NA,NA,NA,NA
NA,NA,NA,NA,Groupe,NA,,NA,4,NA,NA,NA,,,NA,NA,NA,NA,NA
NA,NA,NA,NA,,NA,Total,NA,4,NA,NA,NA,Masculin,FÃ©minin,NA,NA,NA,NA,NA
NA,NA,NA,NA,dâ€™Ã¢ge,NA,,NA,4,NA,NA,NA,,,NA,NA,NA,NA,NA
NA,NA,NA,NA,0-4 Ans,NA,80264,NA,4,NA,NA,NA,40957,39308,NA,NA,NA,NA,NA
NA,NA,NA,NA,5-9 ans,NA,71983,NA,4,NA,NA,NA,36691,35292,NA,NA,NA,NA,NA
NA,NA,NA,NA,10-14 ans,NA,84597,NA,4,NA,NA,NA,43092,41505,NA,NA,NA,NA,NA
NA,NA,NA,NA,15-19 ans,NA,98021,NA,4,NA,NA,NA,49635,48385,NA,NA,NA,NA,NA
NA,NA,NA,NA,20-24 ans,NA,99534,NA,4,NA,NA,NA,49364,50170,NA,NA,NA,NA,NA
NA,NA,NA,NA,25-29 ans,NA,91542,NA,4,NA,NA,NA,46024,45518,NA,NA,NA,NA,NA
NA,NA,NA,NA,30-34 ans,NA,74750,NA,4,NA,NA,NA,37049,37700,NA,NA,NA,NA,NA
NA,NA,NA,NA,35-39 ans,NA,64306,NA,4,NA,NA,NA,31698,32608,NA,NA,NA,NA,NA
NA,NA,NA,NA,40-44 ans,NA,54164,NA,4,NA,NA,NA,27189,26975,NA,NA,NA,NA,NA
NA,NA,NA,NA,45-49 ans,NA,39101,NA,4,NA,NA,NA,19582,19519,NA,NA,NA,NA,NA
NA,NA,NA,NA,50-54ans,NA,36348,NA,4,NA,NA,NA,18574,17774,NA,NA,NA,NA,NA
NA,NA,NA,NA,55-59 ans,NA,29956,NA,4,NA,NA,NA,15576,14380,NA,NA,NA,NA,NA
NA,NA,NA,NA,60-64 ans,NA,22060,NA,4,NA,NA,NA,11319,10740,NA,NA,NA,NA,NA
NA,NA,NA,NA,65-69 ans,NA,17979,NA,4,NA,NA,NA,8849,9130,NA,NA,NA,NA,NA
NA,NA,NA,NA,70-74 ans,NA,13959,NA,4,NA,NA,NA,6837,7122,NA,NA,NA,NA,NA
NA,NA,NA,NA,75-79 ans,NA,10688,NA,4,NA,NA,NA,5306,5381,NA,NA,NA,NA,NA
NA,NA,NA,NA,80-84 ans,NA,5467,NA,4,NA,NA,NA,2773,2694,NA,NA,NA,NA,NA
NA,NA,NA,NA,85 ans &  +,NA,3504,NA,4,NA,NA,NA,1687,1817,NA,NA,NA,NA,NA
NA,NA,NA,NA,ND,NA,458,NA,4,NA,NA,NA,188,269,NA,NA,NA,NA,NA
NA,NA,NA,NA,Total,NA,898680,NA,4,NA,NA,NA,452392,446288,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,26500,NA,24835,51335,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,22100,NA,20826,42926,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,25255,NA,24380,49635,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,28703,NA,27917,56621,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,29916,NA,30115,60031,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,30367,NA,30955,61323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,27187,NA,27273,54459,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,23084,NA,24066,47150,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,20637,NA,21526,42163,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,17323,NA,17843,35166,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,14860,NA,15154,30014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,12835,NA,12068,24903,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,8167,NA,8309,16476,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,6366,NA,6851,13216,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,5126,NA,5256,10383,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3579,NA,3670,7250,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1876,NA,1933,3809,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1008,NA,1315,2323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,141,NA,177,318,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,305030,NA,304469,609499,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,16838,NA,16358,33196,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,13761,NA,13414,27175,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,15268,NA,14877,30145,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,16811,NA,16164,32974,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,18348,NA,18424,36772,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,17679,NA,17452,35131,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,14957,NA,14661,29618,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,11980,NA,11794,23774,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,9678,NA,9855,19532,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,7275,NA,7569,14845,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,6291,NA,6391,12682,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,5159,NA,4957,10116,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,3419,NA,3331,6750,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,3470,NA,3089,6559,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,2431,NA,2220,4651,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,1676,NA,1640,3317,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,875,NA,935,1810,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,779,NA,781,1560,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,21,NA,14,36,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,166717,NA,163925,330641,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,29541,NA,28218,57759,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,23723,NA,22960,46682,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,26410,NA,25495,51904,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,27918,NA,26956,54874,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,31312,NA,30839,62151,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,31408,NA,30705,62113,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,26909,NA,26176,53085,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,22806,NA,22811,45617,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,19944,NA,20142,40086,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,15347,NA,15533,30880,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,13697,NA,13078,26775,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,10529,NA,10122,20651,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,7198,NA,7289,14486,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,6636,NA,6823,13459,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,5143,NA,5299,10441,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3464,NA,3569,7033,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1769,NA,1936,3705,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1307,NA,1544,2852,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,69,NA,120,189,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,305130,NA,299614,604744,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,21593,NA,20730,42323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,18678,NA,17786,36465,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-14 ans,NA,NA,NA,21384,NA,20991,42376,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-19 ans,NA,NA,NA,24878,NA,23909,48787,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-24 ans,NA,NA,NA,26019,NA,25954,51973,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-29 ans,NA,NA,NA,24822,NA,24545,49367,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-34 ans,NA,NA,NA,19635,NA,20155,39791,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-39 ans,NA,NA,NA,16550,NA,17208,33758,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-44 ans,NA,NA,NA,15092,NA,15269,30361,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-49 ans,NA,NA,NA,13300,NA,13821,27121,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,11254,NA,10964,22218,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-59 ans,NA,NA,NA,9109,NA,8285,17395,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-64 ans,NA,NA,NA,5887,NA,5409,11296,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-69 ans,NA,NA,NA,4959,NA,5115,10074,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-74 ans,NA,NA,NA,3794,NA,4073,7866,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-79 ans,NA,NA,NA,2894,NA,2906,5800,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-84 ans,NA,NA,NA,1617,NA,1710,3327,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ans &  +,NA,NA,NA,909,NA,1117,2026,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,55,NA,51,106,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,242430,NA,240001,482430,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,43862,NA,41930,85791,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,36055,NA,34848,70903,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,42780,NA,41143,83923,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,49507,NA,48115,97622,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,50811,NA,49706,100517,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,44551,NA,43905,88455,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,37003,NA,37162,74165,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,32518,NA,34339,66858,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,30502,NA,31358,61860,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,26015,NA,25578,51593,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,22130,NA,21395,43525,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,16714,NA,16013,32727,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,10891,NA,11950,22841,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,9217,NA,10411,19629,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,7524,NA,8611,16135,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,5542,NA,6086,11628,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,2833,NA,3289,6122,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1667,NA,2135,3802,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,141,NA,237,378,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,470262,NA,468213,938475,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,ÙØ¦Ø© Ø§Ù„Ø¹Ù…Ø±,NA,NA,,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,5,NA,NA,NA,NA,NA,Ø§Ù„Ø¥Ù†Ø§Ø« Ø§Ù„Ø°Ø¢ÙˆØ±,NA,NA,NA,NA
NA,NA,NA,NA,Groupe,NA,NA,,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,Total,5,NA,NA,NA,NA,NA,Masculin FÃ©minin,NA,NA,NA,NA
NA,NA,NA,NA,dâ€™Ã¢ge,NA,NA,,5,NA,NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,0-4 Ans,NA,NA,72771,5,NA,NA,NA,NA,NA,37060 35711,NA,NA,NA,NA
NA,NA,NA,NA,5-9 ans,NA,NA,62396,5,NA,NA,NA,NA,NA,31537 30859,NA,NA,NA,NA
NA,NA,NA,NA,10-14 ans,NA,NA,70121,5,NA,NA,NA,NA,NA,35559 34561,NA,NA,NA,NA
NA,NA,NA,NA,15-19 ans,NA,NA,79163,5,NA,NA,NA,NA,NA,39847 39317,NA,NA,NA,NA
NA,NA,NA,NA,20-24 ans,NA,NA,85987,5,NA,NA,NA,NA,NA,43027 42960,NA,NA,NA,NA
NA,NA,NA,NA,25-29 ans,NA,NA,77108,5,NA,NA,NA,NA,NA,38679 38429,NA,NA,NA,NA
NA,NA,NA,NA,30-34 ans,NA,NA,59496,5,NA,NA,NA,NA,NA,29626 29870,NA,NA,NA,NA
NA,NA,NA,NA,35-39 ans,NA,NA,49110,5,NA,NA,NA,NA,NA,24341 24769,NA,NA,NA,NA
NA,NA,NA,NA,40-44 ans,NA,NA,41958,5,NA,NA,NA,NA,NA,20935 21023,NA,NA,NA,NA
NA,NA,NA,NA,45-49 ans,NA,NA,36423,5,NA,NA,NA,NA,NA,18481 17942,NA,NA,NA,NA
NA,NA,NA,NA,50-54ans,NA,NA,29307,5,NA,NA,NA,NA,NA,14903 14404,NA,NA,NA,NA
NA,NA,NA,NA,55-59 ans,NA,NA,22266,5,NA,NA,NA,NA,NA,11603 10663,NA,NA,NA,NA
NA,NA,NA,NA,60-64 ans,NA,NA,15246,5,NA,NA,NA,NA,NA,7622 7625,NA,NA,NA,NA
NA,NA,NA,NA,65-69 ans,NA,NA,13276,5,NA,NA,NA,NA,NA,6467 6809,NA,NA,NA,NA
NA,NA,NA,NA,70-74 ans,NA,NA,10386,5,NA,NA,NA,NA,NA,4863 5523,NA,NA,NA,NA
NA,NA,NA,NA,75-79 ans,NA,NA,6852,5,NA,NA,NA,NA,NA,3190 3661,NA,NA,NA,NA
NA,NA,NA,NA,80-84 ans,NA,NA,2939,5,NA,NA,NA,NA,NA,1339 1600,NA,NA,NA,NA
NA,NA,NA,NA,85 ans &  +,NA,NA,2048,5,NA,NA,NA,NA,NA,833 1214,NA,NA,NA,NA
NA,NA,NA,NA,ND,NA,NA,267,5,NA,NA,NA,NA,NA,106 161,NA,NA,NA,NA
NA,NA,NA,NA,Total,NA,NA,737118,5,NA,NA,NA,NA,NA,370018 367100,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,41611,NA,39725,81336,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,33857,NA,32615,66472,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,36990,NA,36123,73113,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,38560,NA,37688,76248,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,42474,NA,41633,84107,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,41043,NA,38414,79457,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,34319,NA,31958,66277,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,28300,NA,27197,55497,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,23530,NA,22898,46427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,18853,NA,18411,37264,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,16312,NA,15577,31889,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,12968,NA,12301,25269,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,8728,NA,8726,17453,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,8073,NA,7749,15822,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,6056,NA,6104,12160,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3815,NA,4117,7931,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1746,NA,1926,3672,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1161,NA,1631,2792,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,370,NA,517,887,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,398767,NA,385306,784073,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,41401,NA,38815,80216,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,33539,NA,32054,65593,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,40638,NA,39044,79682,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,46915,NA,45579,92494,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,48156,NA,46734,94890,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,44599,NA,42859,87458,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,34700,NA,33493,68192,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,28322,NA,28692,57015,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,22487,NA,22280,44767,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,18643,NA,18530,37173,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,15278,NA,14858,30136,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,11912,NA,10979,22891,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,8360,NA,7881,16241,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
