District,Age,Men,Women,Total,Check,Diff
Tiaret,30-34 ans,32116,32635,64752,64751,-1
Tiaret,35-39 ans,27806,28596,56402,56402,0
Tiaret,40-44 ans,23711,24376,48088,48087,-1
Tiaret,45-49 ans,19563,19671,39234,39234,0
Tiaret,50-54ans,15900,15051,30951,30951,0
Tiaret,55-59 ans,11763,11361,23124,23124,0
Tiaret,60-64 ans,7449,7446,14895,14895,0
Tiaret,65-69 ans,8145,7171,15316,15316,0
Tiaret,70-74 ans,6431,5796,12226,12227,1
Tiaret,75-79 ans,4933,4139,9073,9072,-1
Tiaret,80-84 ans,2300,2045,4344,4345,1
Tiaret,85 ans &  +,1608,1639,3248,3247,-1
Alger,0-4 Ans,146656,138304,284960,284960,0
Alger,5-9 ans,114818,110294,225112,225112,0
Alger,10-14 ans,122211,116655,238866,238866,0
Alger,15-19 ans,130532,127020,257552,257552,0
Alger,20-24 ans,137304,138372,275676,275676,0
Alger,25-29 ans,140152,142229,282381,282381,0
Alger,30-34 ans,130469,129815,260284,260284,0
Alger,35-39 ans,124341,126600,250941,250941,0
Alger,40-44 ans,112399,111490,223889,223889,0
Alger,45-49 ans,83929,81948,165877,165877,0
Alger,50-54ans,68536,66759,135295,135295,0
Alger,55-59 ans,55823,54422,110245,110245,0
Alger,60-64 ans,36751,40546,77297,77297,0
Alger,65-69 ans,32067,34400,66467,66467,0
Alger,70-74 ans,26352,28499,54851,54851,0
Alger,75-79 ans,18885,19219,38104,38104,0
Alger,80-84 ans,9069,9868,18937,18937,0
Alger,85 ans &  +,5905,7514,13419,13419,0
Jijel,0-4 Ans,28384,26927,55311,55311,0
Jijel,5-9 ans,26651,25117,51768,51768,0
Jijel,10-14 ans,32329,31499,63828,63828,0
Jijel,15-19 ans,39727,38604,78331,78331,0
Jijel,20-24 ans,39037,38447,77484,77484,0
Jijel,25-29 ans,32909,31771,64680,64680,0
Jijel,30-34 ans,24785,24833,49618,49618,0
Jijel,35-39 ans,19882,20612,40494,40494,0
Jijel,40-44 ans,17785,17864,35649,35649,0
Jijel,45-49 ans,13052,13017,26069,26069,0
Jijel,50-54ans,11183,11293,22476,22476,0
Jijel,55-59 ans,10622,10307,20929,20929,0
Jijel,60-64 ans,7196,7184,14380,14380,0
Jijel,65-69 ans,5692,5987,11679,11679,0
Jijel,70-74 ans,4523,5211,9734,9734,0
Jijel,75-79 ans,3805,3961,7766,7766,0
Jijel,80-84 ans,1954,1990,3945,3944,-1
Jijel,85 ans &  +,1224,1366,2590,2590,0
Setif,0-4 Ans,77222,73297,150519,150519,0
Setif,5-9 ans,62700,61217,123917,123917,0
Setif,10-14 ans,75101,72249,147349,147350,1
Setif,15-19 ans,87369,84269,171638,171638,0
Setif,20-24 ans,90392,86466,176858,176858,0
Setif,25-29 ans,78193,73823,152017,152016,-1
Setif,30-34 ans,60731,58867,119597,119598,1
Setif,35-39 ans,46734,46805,93538,93539,1
Setif,40-44 ans,40396,40728,81124,81124,0
Setif,45-49 ans,36017,36252,72269,72269,0
